,Title,Budget,Gross,MPAArating,Runtime,IMDBRating,IMDBRatingCount,IMDBMCRating,IMDBMCRatingCount,APPROVED,G,GP,M,NC-17,NOT RATED,PASSED,PG,PG13,R,TV-14,UNRATED,X,GRRating,GRRatingCount
129,Kes,,,PG-13,110.0,7.8,12149.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.29,1714888
130,My Darling Clementine,,,APPROVED,97.0,7.8,15884.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2
131,Birdman of Alcatraz,,,,147.0,7.8,11785.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,126
132,When the Wind Blows,,,,80.0,7.8,6832.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,38539
133,The Three Veterans,,,,96.0,7.8,702.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,950
134,Boris Godunov,,,,110.0,7.8,47.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,920
135,Queridas amigas,,,,92.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,8
136,Black Hawk Down,92000000.0,976530.0,R,144.0,7.7,280733.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.26,37513
137,Lolita,,,NOT RATED,152.0,7.7,64397.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.87,448324
138,Midnight Express,1800000.0,35000000.0,R,121.0,7.7,51812.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.97,1875
139,Mysterious Skin,,,NC-17,105.0,7.7,55298.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,6431
